robot_A => 1, a, north
robot_A => 4, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_B => 1, f, south
robot_B => 1, f, south
robot_A => 3, d, east
robot_A => 3, d, east
robot_B => 1, f, south
robot_A => 3, d, north
robot_A => 3, d, west
robot_B => 1, e, south
robot_A => 3, d, west
robot_B => 1, e, south
robot_A => 3, d, south
robot_B => 1, d, south
robot_A => 3, d, south
robot_B => 1, d, south
robot_A => 3, c, south
robot_B => 1, d, east
robot_A => 3, c, east
robot_A => 3, c, north
robot_B => 1, d, east
robot_A => 3, c, north
robot_B => 2, d, east
robot_A => 3, c, west
robot_B => 2, d, east
robot_A => 3, c, west
robot_A => 2, c, west
robot_B => 2, d, east
robot_A => 2, c, north
robot_B => 2, d, south
robot_A => 2, c, north
robot_B => 2, d, south
robot_A => 2, c, north
robot_B => 2, d, south
robot_A => 2, c, west
robot_B => 2, d, south
robot_B => 2, d, south
robot_A => 2, c, west
robot_B => 2, d, south
robot_A => 1, c, west
robot_B => 2, d, south
robot_A => 1, c, north
robot_B => 2, d, south
robot_A => 1, c, north
robot_B => 2, c, south
robot_A => 1, d, north
robot_B => 2, c, east
robot_A => 1, d, east
robot_B => 2, c, east
robot_A => 1, d, east
robot_B => 3, c, east
robot_A => 2, d, east
robot_B => 3, c, east
robot_A => 2, d, east
robot_B => 3, c, south
robot_A => 2, d, south
robot_B => 3, c, south
robot_A => 2, d, south
robot_B => 3, b, south
robot_A => 2, c, south
robot_B => 3, b, east
robot_A => 2, c, south
robot_B => 3, b, east
robot_B => 4, b, east
robot_A => 2, c, south
robot_B => 4, b, east
robot_A => 2, b, south
robot_B => 5, b, east
robot_A => 2, b, south
robot_A => 2, b, east
robot_A => 2, b, east
robot_A => 3, b, east
robot_A => 3, b, north
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, c, east
robot_A => 3, c, east
robot_A => 4, c, east
robot_A => 4, c, east
robot_A => 5, c, east
